"content_property_type_id","content_property_type_name"
"1","Commercial"
"2","Condo"
"3","Luxury Home"
"4","Mobile Home"
"5","Restaurant"
"6","Single Family Home"
"7","Townhome"
"8","Vacant Land"
"9","New Home Construction"
"10","Under Market Value"
"11","Public Auction Homes"
"12","Exclusive Properties"
"13","Penthouse Properties"
"14","Premier Properties"
"15","Waterfront Home"
"16","Long Term Rental"
"17","Vacation Rental"
"18","Sold"
