"tooltip_id","tooltip_html","tooltip_name","tooltip_section_id","tooltip_label"
"326","","menu_popup_padding_width","1","Popup Padding<br />Width"
"327","","menu_popup_font_size","1","Pop-up Font Size"
"328","","menu_popup_font_color","1","Pop-up Font Color"
"329","","menuPopupBackground","1","Pop-up Background"
"330","","menu_popup_background_color","1","Color"
"331","","menu_popup_background_image","1","Image"
"332","","menu_popup_font_over_color","1","Pop-up Rollover<br />Font Color"
"333","","menuPopupOverBackground","1","Pop-up Rollover<br />Background"
"334","","menu_popup_background_over_color","1","Color"
"335","","menu_popup_background_over_image","1","Image"
"336","","menu_vertical","1","Layout:"
"337","","menu_locked","1","Lock menu?"
"338","","menu_button_link_text","338","Text"
"339","","menu_button_link_target","338","Target"
"340","","menu_button_text","340","Link Text"
"341","","menu_button_url","340","Image"
"342","","menu_button_over_url","340","Over Image"
"343","","menu_button_link","340","URL"
"344","","menu_button_target","340","Link Action"
"345","","menu_button_type_id","340","Child Link Type"
"346","","menu_button_type_count","340","Maximum number of links to show?"
"347","","menu_button_type_tid1","340","Select a content parent page"
"348","","menu_button_type_tid3","340","Select a blog category parent page"
"349","","menu_button_type_tid4","340","Select a blog tag parent page"
"350","","menu_button_sorting","340","Sorting Method"
"351","","rss_title","351","Title"
"352","","uid","351","Author"
"353","","rss_summary","351","Summary Text"
"354","","rss_story","351","Body Text"
"355","","select_category_id","351","Category"
"356","","select_tag_id","351","Tags"
"357","","rss_status","351","Date"
"358","","rss_slideshow_id","351","Slideshow"
"359","","rss_metakey","351","Meta Keywords"
"360","","rss_metadesc","351","Meta Description"
"361","","rss_unique_name","351","Unique URL"
"362","","rss_category_parent_id","362","Parent Category"
"363","","rss_category_name","362","Name"
"364","","rss_category_metakey","362","Meta Keywords"
"365","","rss_category_metadesc","362","Meta Description"
"366","","rss_category_unique_name","362","Unique URL"
"367","","rss_tag_name","367","Tag Name"
"368","","rss_tag_description","367","Description"
"369","","rss_tag_metakey","367","Meta Keywords"
"370","","rss_tag_metadesc","367","Meta Description"
"371","","rss_tag_unique_name","367","Unique URL"
"372","","comments_author","372","Your Name"
"373","","comments_author_email","372","Your Email"
"374","","comments_title","372","Subject"
"375","","comments_text","372","Comments"
"376","","comments_author","376","Your Name"
"377","","rss_comments_author_email","376","Your Email"
"378","","rss_comments_title","376","Title"
"379","","rss_comments_text","376","Comments"
"380","","office_id","380","Office"
"381","","member_first_name","380","First Name"
"382","","member_last_name","380","Last Name"
"383","","member_title","380","Title"
"384","<p>Enter the member's email address.</p>","member_email","380","Email"
"385","","member_password","380","Password"
"386","","member_phone","380","Phone"
"387","","member_website","380","Web Site"
"388","","user_listing_sort","380","Sort Listings"
"389","","mlsagentid","380","MLS Agent ID"
"390","","member_description","380","Description"
"391","","member_signature","380","Email<br />Signature<br />(NO HTML)"
"392","","member_photo","380","Photo"
"393","","user_pref_phone","380","Phone"
"394","","user_pref_email","380","Personal Emails"
"395","","user_pref_mail","380","Physical Mail"
"396","","user_pref_fax","380","Fax"
"397","","user_street","380","Address"
"398","","user_street2","380","Address 2"
"399","","user_city","380","City"
"400","","user_state","380","State"
"401","","user_country","380","Country"
"402","","user_zip","380","Zip Code"
"403","","user_sync_site_id_list","380","Sync Member With<br />Your Other Web Sites"
"404","","leadsOnly","380","Access Rights"
"405","","member_public_profile","380","Show Profile"
"406","","rental_amenity_name","381","Amenity Name"
"407","","rental_category_parent_id","382","Change Parent Category"
"408","","rental_category_name","382","Name"
"409","","rental_category_image_library_id","382","Photos"
"410","","rental_category_text","382","Full Text"
"411","","rental_category_slideshow_id","382","Slideshow"
"412","","rental_category_metakey","382","Meta Keywords"
"413","","rental_category_metadesc","382","Meta Description"
"414","","rental_category_searchable","382","Searchable"
"415","","rental_category_url","382","Override URL"
"416","","rental_category_id_list","391","Category"
"417","","rental_name","391","Title"
"418","","rental_image_library_id","391","Photos"
"419","","rental_description","391","Summary Text"
"420","","rental_text","391","Full Text"
"421","","rental_city","391","City"
"422","","rental_pool","391","Pool"
"423","","rental_gameroom","391","Gameroom"
"424","","rental_mountainview","391","Mountain View"
"425","","rental_waterview","391","Water View"
"426","","rental_hottub","391","Hot Tub"
"427","","rental_fireplace","391","Fireplace"
